route_id,service_id,trip_id
0,1,0
0,1,1
0,1,2
0,1,3
0,1,4
0,1,5
0,1,6
0,1,7
0,1,8
0,1,9
0,1,10
0,1,11
0,1,12
0,1,13
0,1,14
0,1,15
0,1,16
0,1,17
0,1,18
0,1,19
0,1,20
0,1,21
0,1,22
0,1,23
0,1,24
0,1,25
0,1,26
0,1,27
0,1,28
0,1,29
0,1,30
0,1,31
0,1,32
0,1,33
0,1,34
0,1,35
0,1,36
0,1,37
0,1,38
0,1,39
0,1,40
0,1,41
0,1,42
0,1,43
0,1,44
0,1,45
0,1,46
0,1,47
0,1,48
0,1,49
0,1,50
0,1,51
0,1,52
0,1,53
0,1,54
0,1,55
0,1,56
0,1,57
0,1,58
0,1,59
0,1,60
0,1,61
0,1,62
0,1,63
0,1,64
0,1,65
0,1,66
0,1,67
0,1,68
0,1,69
0,1,70
0,1,71
0,1,72
0,1,73
0,1,74
0,1,75
0,1,76
0,1,77
0,1,78
0,1,79
0,1,80
0,1,81
0,1,82
0,1,83
0,1,84
0,1,85
0,1,86
0,1,87
0,1,88
0,1,89
0,1,90
0,1,91
0,1,92
0,1,93
0,1,94
0,1,95
0,1,96
0,1,97
0,1,98
0,1,99
0,1,100
0,1,101
1,1,102
1,1,103
1,1,104
1,1,105
1,1,106
1,1,107
1,1,108
1,1,109
1,1,110
1,1,111
1,1,112
1,1,113
1,1,114
1,1,115
1,1,116
1,1,117
1,1,118
1,1,119
1,1,120
1,1,121
1,1,122
1,1,123
1,1,124
1,1,125
1,1,126
1,1,127
1,1,128
1,1,129
1,1,130
1,1,131
1,1,132
1,1,133
1,1,134
1,1,135
2,1,136
2,1,137
2,1,138
2,1,139
2,1,140
2,1,141
2,1,142
2,1,143
2,1,144
2,1,145
2,1,146
2,1,147
2,1,148
2,1,149
2,1,150
2,1,151
2,1,152
2,1,153
2,1,154
2,1,155
2,1,156
2,1,157
2,1,158
2,1,159
2,1,160
2,1,161
2,1,162
2,1,163
2,1,164
2,1,165
2,1,166
2,1,167
2,1,168
2,1,169
3,1,170
3,1,171
3,1,172
3,1,173
3,1,174
3,1,175
3,1,176
3,1,177
3,1,178
3,1,179
3,1,180
3,1,181
3,1,182
3,1,183
3,1,184
3,1,185
3,1,186
3,1,187
3,1,188
3,1,189
3,1,190
3,1,191
3,1,192
3,1,193
3,1,194
3,1,195
3,1,196
3,1,197
3,1,198
3,1,199
3,1,200
3,1,201
3,1,202
3,1,203
3,1,204
3,1,205
3,1,206
3,1,207
3,1,208
3,1,209
3,1,210
3,1,211
3,1,212
3,1,213
3,1,214
3,1,215
3,1,216
3,1,217
3,1,218
3,1,219
3,1,220
3,1,221
3,1,222
3,1,223
3,1,224
3,1,225
3,1,226
3,1,227
3,1,228
3,1,229
3,1,230
3,1,231
3,1,232
3,1,233
3,1,234
3,1,235
3,1,236
3,1,237
3,1,238
3,1,239
3,1,240
3,1,241
3,1,242
3,1,243
3,1,244
3,1,245
3,1,246
3,1,247
3,1,248
3,1,249
3,1,250
3,1,251
3,1,252
3,1,253
3,1,254
3,1,255
3,1,256
3,1,257
3,1,258
3,1,259
3,1,260
3,1,261
3,1,262
3,1,263
3,1,264
3,1,265
3,1,266
3,1,267
3,1,268
3,1,269
3,1,270
3,1,271
4,1,272
4,1,273
4,1,274
4,1,275
4,1,276
4,1,277
4,1,278
4,1,279
4,1,280
4,1,281
4,1,282
4,1,283
4,1,284
4,1,285
4,1,286
4,1,287
4,1,288
4,1,289
4,1,290
4,1,291
4,1,292
4,1,293
4,1,294
4,1,295
4,1,296
4,1,297
4,1,298
4,1,299
5,1,300
5,1,301
5,1,302
5,1,303
5,1,304
5,1,305
5,1,306
5,1,307
5,1,308
5,1,309
6,1,310
6,1,311
6,1,312
6,1,313
6,1,314
6,1,315
6,1,316
6,1,317
6,1,318
6,1,319
7,1,320
7,1,321
7,1,322
7,1,323
7,1,324
7,1,325
7,1,326
8,1,327
8,1,328
8,1,329
8,1,330
8,1,331
8,1,332
8,1,333
9,1,334
9,1,335
9,1,336
9,1,337
9,1,338
9,1,339
9,1,340
9,1,341
9,1,342
9,1,343
9,1,344
9,1,345
9,1,346
9,1,347
9,1,348
9,1,349
9,1,350
9,1,351
9,1,352
9,1,353
9,1,354
9,1,355
9,1,356
9,1,357
9,1,358
9,1,359
9,1,360
9,1,361
10,1,362
10,1,363
10,1,364
10,1,365
10,1,366
10,1,367
10,1,368
10,1,369
10,1,370
10,1,371
10,1,372
10,1,373
11,1,374
11,1,375
11,1,376
11,1,377
11,1,378
11,1,379
11,1,380
11,1,381
11,1,382
11,1,383
11,1,384
11,1,385
12,1,386
12,1,387
12,1,388
12,1,389
12,1,390
12,1,391
12,1,392
12,1,393
13,1,394
13,1,395
13,1,396
13,1,397
14,1,398
14,1,399
14,1,400
14,1,401
15,1,402
15,1,403
15,1,404
15,1,405
15,1,406
15,1,407
15,1,408
15,1,409
16,1,410
16,1,411
16,1,412
16,1,413
16,1,414
16,1,415
16,1,416
16,1,417
16,1,418
16,1,419
16,1,420
16,1,421
16,1,422
